Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Surface ST,Surface ET/End Time,n2,dtype
1529.554866182,1529.55497509,1529.893188474,1529.911580935,1529.916710519,1532.117314894,2500,float32
1532.267702358,1532.267815928,1532.60885824,1532.628082429,1532.633031116,1534.834076541,2500,float32
1534.9754651,1534.975578521,1535.320527418,1535.338985161,1535.34386448,1537.528654342,2500,float32
1537.682081183,1537.682196076,1538.025497295,1538.044095936,1538.049036083,1540.266455091,2500,float32
1540.415965026,1540.416086555,1540.7814357,1540.799805838,1540.804770172,1542.995319715,2500,float32
1543.144290596,1543.144402248,1543.487739139,1543.506036086,1543.510860281,1545.688478321,2500,float32
1545.83657229,1545.836694469,1546.178739791,1546.197289,1546.2023198,1548.398521797,2500,float32
1862.343783941,1862.343898407,1862.989532891,1863.024221431,1863.03486574,1877.400426551,5000,float64
1877.683272526,1877.683385266,1878.335282075,1878.370516402,1878.381090726,1892.580995099,5000,float64
1892.860906688,1892.861066629,1893.566469167,1893.602149635,1893.612799808,1907.878796696,5000,float64
1908.158095327,1908.158210448,1908.811285663,1908.846055552,1908.856607186,1923.114227939,5000,float64
1923.396027665,1923.39617599,1924.047939976,1924.083807935,1924.094221331,1938.264852161,5000,float64
1938.548909024,1938.549045546,1939.222552761,1939.257866842,1939.268291043,1953.505814886,5000,float64
1953.787632891,1953.787747016,1954.467477048,1954.502990382,1954.513490612,1968.821651304,5000,float64
1969.101514249,1969.10162735,1969.755407662,1969.790560811,1969.801143819,1984.140957625,5000,float64
1984.425149311,1984.425266711,1985.08006923,1985.11553834,1985.126106859,1999.513382216,5000,float64
1999.798503905,1999.798622181,2000.455329825,2000.490629529,2000.501339572,2014.914038045,5000,float64
2212.140202627,2212.140313737,2212.816192784,2212.851660133,2212.860790811,2221.611584293,5000,float32
2221.882285612,2221.882402535,2222.556741131,2222.59202293,2222.601195491,2231.311901763,5000,float32
2231.591789416,2231.591912918,2232.27136532,2232.30639862,2232.315656413,2241.027423388,5000,float32
2241.305665461,2241.305787703,2241.980889563,2242.016121612,2242.025914202,2250.749683743,5000,float32
2251.02014987,2251.020263165,2251.743967184,2251.779745268,2251.788970876,2260.499330678,5000,float32
2260.795827102,2260.795941299,2261.471700657,2261.50678847,2261.515883289,2270.184011095,5000,float32
2270.467907965,2270.468042708,2271.170890868,2271.205728272,2271.214860473,2279.928126628,5000,float32
2280.206538639,2280.206656255,2280.910788653,2280.945660399,2280.954808294,2289.683566691,5000,float32
2289.952906098,2289.953035226,2290.656866253,2290.692836083,2290.701980978,2299.42615376,5000,float32
2299.696375602,2299.696490004,2300.383245189,2300.418288121,2300.427494844,2309.133921801,5000,float32
