run_idx,object,n1,n2,dtype,device,t_data_create_cpu,t_h2d_transfer,t_curves,t_match_and_base_crown,t_tangent,t_alloc_output,t_kernel_surf_pts,t_d2h_transfer,t_total
0,apple,300,1200,float32,cpu,0.00019096300002274802,9.59998942562379e-08,0.024999978999858286,0.0015956939996613073,0.002984082000239141,0.06220473699977447,0.17594048099999782,9.699988368083723e-08,0.2679161289993317
1,apple,300,1200,float32,cpu,0.00020721100008813664,1.1299971447442658e-07,0.018989787000009528,0.0016072039998107357,0.0030033129996809294,0.06283037000002878,0.17980394200003502,2.0100014808122069e-07,0.2664421409995157
2,apple,300,1200,float32,cpu,0.00022878699974171468,1.1099973562522791e-07,0.026804645000083838,0.0021227699999144534,0.0037537079997491674,0.06444325600023149,0.17313647499986473,1.1800011634477414e-07,0.27048986999943736
3,apple,300,1200,float32,cpu,0.00019489500027702888,1.140001586463768e-07,0.018134595999981684,0.0016500799997629656,0.00314210800024739,0.06251194400010718,0.17370062000009057,1.2200007404317148e-07,0.2593344790006995
4,apple,300,1200,float32,cpu,0.00020910900002490962,1.0900021152338013e-07,0.01915955100002975,0.0017680519999885291,0.0030925680002837908,0.06367529499993907,0.17539610099993297,9.89998625300359e-08,0.26330088400027307
5,apple,300,1200,float32,cpu,0.000204581000161852,1.1200017979717813e-07,0.020730803000333253,0.0024591810001766135,0.004675057999975252,0.06373301300027379,0.17055901100002302,1.200000951939728e-07,0.26236187900121877
6,apple,300,1200,float32,cpu,0.00019509300000208896,9.89998625300359e-08,0.018359533999955602,0.001590708999628987,0.0029695250000258966,0.06164136600000347,0.16750641499993435,1.690000317466911e-07,0.2522629099994447
7,apple,300,1200,float32,cpu,0.00019553599986465997,8.899996828404255e-08,0.018034597000223584,0.0015816260001884075,0.0029609419998450903,0.06221267599994462,0.1665122180002072,1.580001480760984e-07,0.25149784200038994
8,apple,300,1200,float32,cpu,0.00021075599988762406,8.799997885944322e-08,0.02094057799968141,0.0018369329995948647,0.0030951799999456853,0.06376178499976959,0.17091853500005527,1.4999977793195285e-07,0.26076400499869123
9,apple,300,1200,float32,cpu,0.00019525800007613725,1.0400026440038346e-07,0.01864549399988391,0.0016886189996512257,0.0031187629997475597,0.06273614700012331,0.17368732900013129,1.4999977793195285e-07,0.26007186399965576
0,apple,625,2500,float64,cpu,0.00019216200007576845,9.89998625300359e-08,0.018991702999755944,0.0020338049998827046,0.004025749999982509,0.5271245809999527,1.5737043600001925,9.199993655784056e-08,2.1260725519996413
1,apple,625,2500,float64,cpu,0.00021747999971921672,1.2299960872041993e-07,0.019415098000081343,0.0021346840003388934,0.004033356000036292,0.5293462919999001,1.533207148999736,1.2600003174156882e-07,2.0883543079994524
2,apple,625,2500,float64,cpu,0.0002020059996539203,1.1300016922177747e-07,0.01995757600025172,0.0021222469999884197,0.004262251000000106,0.5242670359998556,1.557033256000068,1.6400008462369442e-07,2.1078446490000715
3,apple,625,2500,float64,cpu,0.00019233500006521353,1.0299982022843324e-07,0.019502259999626403,0.002025173000220093,0.004138763999890216,0.5334049460002461,1.5547441949997847,1.3799990483676083e-07,2.114007913999558
4,apple,625,2500,float64,cpu,0.0001885300002868462,1.1300016922177747e-07,0.0186127479996685,0.00197721399990769,0.003997527000137779,0.5322048530001666,1.5873519320002742,1.9400022210902534e-07,2.144333111000833
5,apple,625,2500,float64,cpu,0.00024436299963781494,1.2300006346777081e-07,0.02029410800014375,0.002401527999609243,0.004055547000007209,0.5250857099999848,1.549161242000082,1.2300006346777081e-07,2.1012427439995918
6,apple,625,2500,float64,cpu,0.0001969589998225274,1.080002220987808e-07,0.019649289999961184,0.0020954970000275353,0.004322279999996681,0.5380292159998135,1.550494702999913,2.6999987312592566e-07,2.1147883229996296
7,apple,625,2500,float64,cpu,0.00019878900002368027,1.2200007404317148e-07,0.018826100999831397,0.002089598999646114,0.004179279999789287,0.5259076790002837,1.5485360949996902,9.699988368083723e-08,2.099737761999222
8,apple,625,2500,float64,cpu,0.00020228700032021152,1.0400026440038346e-07,0.020497667000199726,0.0021276900001794274,0.004661006999867823,0.5392640579998442,1.5688572150002074,1.8299988369108178e-07,2.135610211000767
9,apple,625,2500,float64,cpu,0.0001957150002454,1.2500004231696948e-07,0.01897515900009239,0.0020624059998226585,0.004417573000409902,0.5542173659996479,1.5594721819998085,1.7100001059588976e-07,2.1393406970000797
0,apple,625,2500,float32,cpu,0.00019067699986408115,8.799997885944322e-08,0.01895460199966692,0.0019306170001982537,0.003749679000065953,0.27127451099977407,0.7897123299999294,1.1000020094797947e-07,1.0858126139996784
1,apple,625,2500,float32,cpu,0.00021047100017312914,8.900042303139344e-08,0.026318606000131695,0.0025332679997518426,0.004780922999998438,0.2642527939997308,0.7439656269998522,1.5900013750069775e-07,1.0420619370001987
2,apple,625,2500,float32,cpu,0.00020685199979197932,9.89998625300359e-08,0.019799299000169412,0.0020267939999030204,0.0037261719999150955,0.2630780530002994,0.7413805229998616,1.6700005289749242e-07,1.030217958999856
