Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Surface ST,Surface ET/End Time,n2,dtype
22141.658721019,22141.658844543,22141.935456764,22141.95032486,22141.955246265,22144.008965489,2500,float32
22144.208495859,22144.208652566,22144.748648503,22144.777872428,22144.785246185,22146.625010118,2500,float32
22146.779338846,22146.779473415,22147.062026753,22147.077057326,22147.082029063,22148.878405786,2500,float32
22242.313655824,22242.31377812,22242.870165583,22242.8986322,22242.908784262,22255.723907637,5000,float64
22255.956984462,22255.957114358,22256.520239781,22256.54887407,22256.559366993,22269.396200469,5000,float64
22269.684204215,22269.68436807,22270.250833056,22270.27836825,22270.288896529,22282.764630052,5000,float64
22283.029084889,22283.029203382,22283.564315,22283.591855895,22283.6016351,22296.700140099,5000,float64
22296.938110642,22296.938240672,22297.494707963,22297.52594298,22297.540820228,22311.702182487,5000,float64
22312.052886426,22312.053060227,22313.099136489,22313.153092888,22313.16678767,22325.72884572,5000,float64
22326.094391279,22326.094547366,22326.99673631,22327.024619915,22327.034973721,22339.81493402,5000,float64
22340.121344969,22340.12151558,22340.685664868,22340.714147705,22340.724417976,22354.05110389,5000,float64
22354.308581788,22354.308705674,22354.90513257,22354.933498378,22354.944394497,22367.587306872,5000,float64
22367.823517471,22367.823641403,22368.38448814,22368.412579387,22368.422510046,22381.095202935,5000,float64
22777.943800638,22777.943952379,22778.495041302,22778.522807074,22778.531828999,22789.095983259,5000,float32
22789.39857093,22789.3987293,22789.963220053,22789.990818047,22790.000161625,22800.0525693,5000,float32
22800.326389713,22800.326513279,22800.874152275,22800.901751426,22800.910397948,22815.569509477,5000,float32
22815.808844577,22815.808969447,22816.378796512,22816.40619427,22816.415221818,22827.336458076,5000,float32
22827.56991031,22827.57004257,22828.133417345,22828.161273738,22828.170015331,22835.390920861,5000,float32
22835.618698505,22835.618817436,22836.568484146,22836.624408238,22836.637083261,22844.094057005,5000,float32
22844.324999074,22844.32516582,22844.899577239,22844.927354378,22844.936171761,22852.482160802,5000,float32
22852.714769147,22852.714894986,22853.285633002,22853.313221727,22853.322359148,22860.425708305,5000,float32
22860.660824189,22860.660945972,22861.355482873,22861.411717636,22861.425517442,22868.987927345,5000,float32
22869.224885699,22869.225042,22869.79356226,22869.820881782,22869.829557638,22878.287507128,5000,float32
