Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Data ST,Surface ET/End Time,n2,dtype
23349.505536247,23349.505664322,23349.507165867,23349.525954871,23349.530715902,23350.632665513,2500,float64
23351.117867827,23351.11805917,23351.119487586,23351.157944662,23351.16460886,23352.259702347,2500,float64
23352.731267864,23352.731397453,23352.732815221,23352.75323918,23352.758051324,23353.859869895,2500,float64
23387.21144571,23387.21158463,23387.212972436,23387.231587433,23387.23623968,23388.163757096,2500,float32
23388.594047464,23388.594179142,23388.595616146,23388.614379452,23388.61901151,23389.551280387,2500,float32
23389.986747236,23389.986875629,23389.988283784,23390.008969615,23390.013946011,23390.981057797,2500,float32
23391.418374946,23391.418505439,23391.419905485,23391.438427563,23391.443098768,23392.370015712,2500,float32
23392.799316427,23392.799447,23392.800825765,23392.819844901,23392.824473959,23393.752178493,2500,float32
23394.198695938,23394.198872007,23394.200255212,23394.237578165,23394.245910675,23395.683979141,2500,float32
23396.278117245,23396.278392128,23396.280138837,23396.314757064,23396.322605457,23397.585884065,2500,float32
23398.020034632,23398.020221583,23398.021708453,23398.04042445,23398.045078389,23398.97962021,2500,float32
23399.414726293,23399.414853884,23399.4162062,23399.435100218,23399.43973956,23400.363533132,2500,float32
23400.796252676,23400.796379443,23400.797752742,23400.816649908,23400.82129493,23401.747657385,2500,float32
23527.118560099,23527.118689405,23527.120412244,23527.156420583,23527.165664005,23532.333736454,5000,float64
23533.018853945,23533.018985792,23533.020716961,23533.056987035,23533.066269324,23537.070753127,5000,float64
23537.758261823,23537.758389426,23537.760210401,23537.796291013,23537.805792361,23541.983908281,5000,float64
23542.985931951,23542.98612226,23542.987940566,23543.060891294,23543.078194581,23547.628282874,5000,float64
23548.324329923,23548.324468546,23548.326287004,23548.361992002,23548.371281694,23552.357829368,5000,float64
23553.041017718,23553.041142403,23553.042901031,23553.078998711,23553.088327704,23558.279291299,5000,float64
23558.976812613,23558.97694667,23558.978821368,23559.019970822,23559.030546215,23563.263312416,5000,float64
23563.95257069,23563.952705637,23563.954533205,23563.991174046,23564.000825961,23568.249630802,5000,float64
23569.240725662,23569.240899877,23569.242703383,23569.313028345,23569.329716889,23573.737704497,5000,float64
23574.42106599,23574.421235891,23574.423097073,23574.470496863,23574.47974911,23578.473243913,5000,float64
23668.785031145,23668.785166665,23668.786859523,23668.827223901,23668.836327551,23672.899638776,5000,float32
23673.668680534,23673.668900054,23673.670861909,23673.711860173,23673.721024403,23676.98770963,5000,float32
23677.541142682,23677.541269968,23677.54291955,23677.578773106,23677.587829119,23680.834085656,5000,float32
23681.37981526,23681.379948309,23681.381605909,23681.417435736,23681.426657221,23685.321697155,5000,float32
23686.093065954,23686.0932436,23686.09507654,23686.166604916,23686.185645901,23689.582331737,5000,float32
23690.148896813,23690.149045275,23690.15072015,23690.187919193,23690.197127564,23693.46503943,5000,float32
23694.013795924,23694.013983604,23694.015875313,23694.052442911,23694.061488981,23697.834917031,5000,float32
23698.600156202,23698.600331351,23698.602135732,23698.671210218,23698.685172012,23702.226609962,5000,float32
23702.778213556,23702.778344296,23702.780072495,23702.817946629,23702.828197949,23706.156103455,5000,float32
23706.705325278,23706.705456316,23706.707094492,23706.743389655,23706.752493503,23710.361152785,5000,float32
