Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Data ST,Surface ET/End Time,n2,dtype
23366.139250598,23366.139373493,23366.140530579,23366.155538542,23366.159630934,23366.972958227,2500,float32
23367.397032302,23367.397166034,23367.398274104,23367.412558692,23367.416582736,23368.176972734,2500,float32
23406.511661324,23406.511792949,23406.51333172,23406.543790192,23406.552553074,23410.949780304,5000,float64
23411.600784693,23411.600907102,23411.602344431,23411.629523694,23411.637760195,23416.832190647,5000,float64
23418.912375863,23418.912906094,23418.920878745,23419.100650635,23419.13586917,23432.551480717,5000,float64
23433.224745291,23433.224895753,23433.226402954,23433.255447645,23433.265738534,23437.166204915,5000,float64
23437.783817699,23437.783942906,23437.785329785,23437.812806663,23437.820926517,23442.34122094,5000,float64
23442.970898732,23442.971030828,23442.972432144,23442.999814625,23443.007954686,23446.208915408,5000,float64
23446.844144832,23446.844265093,23446.845703991,23446.87339527,23446.881483434,23450.101079247,5000,float64
23450.756216064,23450.756376088,23450.757874183,23450.792285481,23450.807080736,23455.244266117,5000,float64
23455.861556199,23455.861683484,23455.863055993,23455.890212422,23455.898299947,23459.103481625,5000,float64
23459.735061524,23459.735181654,23459.73661531,23459.763873793,23459.771995357,23463.062551772,5000,float64
23583.53536938,23583.535501806,23583.536820445,23583.564109676,23583.572160778,23586.253436671,5000,float32
23586.77419028,23586.774315875,23586.77580286,23586.803193112,23586.811196843,23589.506338645,5000,float32
23590.026586834,23590.026712345,23590.028109879,23590.05561711,23590.06371319,23592.78811261,5000,float32
23593.313197775,23593.313371253,23593.314933212,23593.36797963,23593.382179535,23597.209397737,5000,float32
23597.723366491,23597.723499715,23597.724823084,23597.752184399,23597.760118766,23600.432463989,5000,float32
23600.944958961,23600.945098642,23600.946478815,23600.973823278,23600.988047587,23603.654675831,5000,float32
23604.176657111,23604.176784744,23604.178144745,23604.2080953,23604.216042448,23607.211025286,5000,float32
23607.896855079,23607.897036293,23607.898397973,23607.954868044,23607.969347529,23611.157963299,5000,float32
23611.670831775,23611.670959481,23611.672332658,23611.69940478,23611.707334418,23614.35976997,5000,float32
23614.886883675,23614.88702286,23614.888384428,23614.915827389,23614.923829608,23617.567434026,5000,float32
