Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Data ST,Surface ET/End Time,n2,dtype
3088.329653618,3088.32977069,3088.330905981,3088.365528207,3088.374627531,3093.644667326,5000,float64
3094.231371146,3094.231498395,3094.232635077,3094.269491483,3094.280053802,3099.55546034,5000,float64
3100.156583542,3100.156715071,3100.1578612,3100.193103153,3100.202420809,3105.491544795,5000,float64
3106.077502484,3106.077632645,3106.078775524,3106.113663312,3106.123031466,3111.450020152,5000,float64
3112.026632894,3112.026769503,3112.027879,3112.062801445,3112.071909721,3117.318823283,5000,float64
3117.891793995,3117.891921491,3117.893075718,3117.928349516,3117.937908854,3123.164339555,5000,float64
3220.537736697,3220.53793313,3220.539341092,3220.58993911,3220.599262594,3223.338393729,5000,float32
3223.753559959,3223.753683891,3223.754668352,3223.788534534,3223.797621473,3226.551760194,5000,float32
3226.986432195,3226.986552755,3226.987548531,3227.021030207,3227.030176577,3229.773853844,5000,float32
3230.187861243,3230.187981252,3230.188940231,3230.223486742,3230.232552803,3232.984052651,5000,float32
3233.396908793,3233.397043794,3233.398052616,3233.43299513,3233.442357026,3236.188936944,5000,float32
3236.608082813,3236.608210837,3236.609191034,3236.643830604,3236.653011007,3239.403685664,5000,float32
3239.818102228,3239.818227422,3239.819195641,3239.853521962,3239.862707549,3242.620577825,5000,float32
3243.04016138,3243.040285541,3243.041275675,3243.075340814,3243.085245025,3245.823538776,5000,float32
3246.235490952,3246.235620872,3246.236597239,3246.270111509,3246.279111828,3249.026037448,5000,float32
3249.443613288,3249.443750555,3249.444723042,3249.482197319,3249.491503779,3252.276055345,5000,float32
