run_idx,object,n1,n2,dtype,t_curves,t_h2d_transfer,t_kernel_surf_pts,t_d2h_transfer,t_total,peak_gpu_mem_mb
1,vase,1250,5000,float64,0.0027389729998503753,0.04005227199968431,0.06790305899994564,1.1291849610001918,1.2398792649996722,0.0
2,vase,1250,5000,float64,0.0028008739996039367,0.006637330000103248,0.0631507100001727,1.114158719000443,1.1867476330003228,2866.0
3,vase,1250,5000,float64,0.0028541360002236615,0.039807590000236814,0.06797613900016586,1.1095073510000475,1.2201452160006738,0.0
4,vase,1250,5000,float64,0.002810459000102128,0.006700137000279938,0.06317699800001719,1.1132202339999822,1.1859078280003814,2866.0
5,vase,1250,5000,float64,0.002781297000183258,0.0282998430002408,0.06800104599960832,1.112072010999782,1.2111541969998143,2868.0
6,vase,1250,5000,float64,0.002743969999755791,0.004928076999931363,0.0629955939998581,1.1579448449997471,1.2286124859992924,2868.0
7,vase,1250,5000,float64,0.00326602199993431,0.028086950000215438,0.06798345900006098,1.1240641700001106,1.2234006010003213,2868.0
8,vase,1250,5000,float64,0.002757604000180436,0.0052579430002879235,0.06310971900029472,1.1192400360000647,1.1903653020008278,2868.0
9,vase,1250,5000,float64,0.0028450269996938005,0.0278498360003141,0.06448823400023684,1.1214528870000322,1.216635984000277,2868.0
0,vase,1250,5000,float32,0.0028324109998720814,0.005788128999938635,0.06677636399990661,1.113760860000184,1.1891577639999014,2866.0
1,vase,1250,5000,float32,0.0027813110000352026,0.0360200260001875,0.07191336300002149,1.1230367840003055,1.2337514840005497,0.0
2,vase,1250,5000,float32,0.0028554630002872727,0.006668196999726206,0.06688222599996152,1.1262346380003692,1.2026405240003442,2866.0
3,vase,1250,5000,float32,0.002772490000097605,0.037725215000136814,0.07203591300003609,1.1374265420004122,1.2499601600006827,0.0
4,vase,1250,5000,float32,0.002939308000350138,0.006639714000357344,0.0667433529997652,1.1384133699998529,1.2147357450003256,2866.0
5,vase,1250,5000,float32,0.003102124999713851,0.021695755000109784,0.07188197200002833,1.1314944870000545,1.2281743389999065,2866.0
6,vase,1250,5000,float32,0.0028122310000071593,0.005994018999899708,0.06675095399987185,1.13619833499979,1.2117555389995687,2866.0
7,vase,1250,5000,float32,0.0030118360000415123,0.020983029000035458,0.07202866999978141,1.1516624689998025,1.247686003999661,2866.0
8,vase,1250,5000,float32,0.002937527000085538,0.005160298000191688,0.06696328299995002,1.1311364830003185,1.2061975910005458,2866.0
9,vase,1250,5000,float32,0.003219747000002826,0.020745287999943685,0.06892276100006711,1.130125494999902,1.2230132909999156,2866.0
