Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Data ST,Surface ET/End Time,n2,dtype
23907.819342294,23907.819517705,23907.820764382,23907.849244788,23907.854236501,23908.478391852,2500,float32
23908.806511824,23908.806655539,23908.807447648,23908.825942597,23908.830775387,23909.454695677,2500,float32
23909.778591153,23909.778732128,23909.779522046,23909.798087077,23909.802816052,23910.42298305,2500,float32
23910.74261101,23910.742743649,23910.743606282,23910.761243067,23910.765974229,23911.376825639,2500,float32
23911.697399072,23911.697539029,23911.698317322,23911.716157173,23911.720882903,23912.340552785,2500,float32
23912.675517352,23912.675699765,23912.676905776,23912.710202113,23912.718701819,23913.515722843,2500,float32
23913.921648436,23913.921852043,23913.923021189,23913.958753135,23913.967104569,23914.800632188,2500,float32
23915.248972734,23915.249188153,23915.250478642,23915.287759753,23915.295932356,23915.924317071,2500,float32
23916.250627107,23916.250769323,23916.251562588,23916.269277754,23916.275037908,23916.892726221,2500,float32
23981.206942744,23981.207140498,23981.208404586,23981.247455393,23981.258299886,23985.697011194,5000,float64
23986.274664459,23986.274794437,23986.276039018,23986.31211151,23986.321452227,23991.292277511,5000,float64
23991.858083249,23991.858214377,23991.85938381,23991.910793063,23991.920319147,23996.333862841,5000,float64
23996.895918681,23996.896069144,23996.897537806,23996.939847246,23996.950741182,24001.490609647,5000,float64
24002.348622861,24002.34880299,24002.3506145,24002.426104149,24002.442442427,24007.162206782,5000,float64
24007.738273219,24007.738407225,24007.739577107,24007.774628986,24007.784337386,24012.211013164,5000,float64
24012.777667511,24012.77786388,24012.779808029,24012.827418603,24012.836959999,24017.881404221,5000,float64
24018.521756086,24018.521889427,24018.523132569,24018.560129724,24018.569446119,24023.101173274,5000,float64
24023.687285793,24023.687421308,24023.689108556,24023.725166212,24023.734667359,24037.399505741,5000,float64
24038.006259021,24038.006412028,24038.007605378,24038.043175058,24038.052495452,24044.78636996,5000,float64
24136.201677329,24136.201821014,24136.202993226,24136.238750397,24136.248229728,24138.690053852,5000,float32
24139.131474581,24139.131612296,24139.132683274,24139.168756837,24139.178601577,24141.607885421,5000,float32
24142.082824399,24142.082957207,24142.084165506,24142.120461787,24142.130162113,24144.658233129,5000,float32
24145.293113077,24145.293304168,24145.295107943,24145.374770582,24145.392879529,24148.152684135,5000,float32
24148.594369319,24148.594510599,24148.595568567,24148.630179755,24148.639861273,24151.049860447,5000,float32
24151.514850266,24151.51498782,24151.516075873,24151.550919366,24151.560751214,24153.978310824,5000,float32
24154.433364673,24154.433502081,24154.434574471,24154.468679275,24154.478519558,24156.863312715,5000,float32
24157.387045368,24157.387218973,24157.390073909,24157.460890563,24157.47521409,24160.407328286,5000,float32
24160.860098058,24160.860232013,24160.861304372,24160.895972769,24160.905761355,24163.320413496,5000,float32
24163.770186717,24163.770333492,24163.771443834,24163.806803011,24163.816334603,24166.211510386,5000,float32
