implementation,platform,object,n1,n2,dtype,mean_total_s,std_total_s,mean_kernel_s,mean_transfer_s,mean_peak_mem_mb,n_runs
Numba (1 thread),Colab,vase,300,1200,float32,0.15491107419948094,0.0042689719563647885,,0.0,,10
Numba (1 thread),Colab,vase,300,1200,float64,0.283740349800064,0.005373254428530953,,0.0,,10
Numba (1 thread),Colab,vase,625,2500,float32,0.6897825755997473,0.07177118729668842,,0.0,,10
Numba (1 thread),Colab,vase,625,2500,float64,1.2036613152002247,0.1006977972685554,,0.0,,10
Numba (1 thread),Colab,vase,1250,5000,float32,2.6372653095000715,0.2492371646822753,,0.0,,10
Numba (1 thread),Colab,vase,1250,5000,float64,4.736678405401108,0.25711581960171825,,0.0,,10
Numba (1 thread),Kaggle,banana,300,1200,float32,0.139676415500071,0.0015086040353894813,,0.0,568.939453125,10
Numba (1 thread),Kaggle,banana,300,1200,float64,0.25811697069998446,0.0005605721197124077,,0.0,701.54296875,10
Numba (1 thread),Kaggle,banana,625,2500,float32,0.5790331675000744,0.005819860267062552,,0.0,1009.943359375,10
Numba (1 thread),Kaggle,banana,625,2500,float64,1.0761438569999882,0.007257900018506001,,0.0,1583.470703125,10
Numba (1 thread),Kaggle,banana,1250,5000,float32,2.2625431216999914,0.011304669685516182,,0.0,2727.486328125,10
Numba (1 thread),Kaggle,banana,1250,5000,float64,4.204773947799913,0.017459865599164837,,0.0,5017.40625,10
Numba (1 thread),Kaggle,apple,300,1200,float32,0.1724418825999237,0.0014209984271677414,,0.0,593.751953125,10
Numba (1 thread),Kaggle,apple,300,1200,float64,0.3252650956999787,0.004703071716934851,,0.0,759.48828125,10
Numba (1 thread),Kaggle,apple,625,2500,float32,0.7235209002000829,0.003554286835033729,,0.0,1144.900390625,10
Numba (1 thread),Kaggle,apple,625,2500,float64,1.3452646376000756,0.007886778157668927,,0.0,1861.58984375,10
Numba (1 thread),Kaggle,apple,1250,5000,float32,2.7978942872000063,0.013495808025488278,,0.0,3291.892578125,10
Numba (1 thread),Kaggle,apple,1250,5000,float64,5.307848297199962,0.030355932293404234,,0.0,6155.865234375,10
Numba (1 thread),Kaggle,vase,300,1200,float32,0.17554323919989656,0.004442840421328228,,0.0,602.05078125,10
Numba (1 thread),Kaggle,vase,300,1200,float64,0.32304740130002757,0.003609733645015441,,0.0,766.697265625,10
Numba (1 thread),Kaggle,vase,625,2500,float32,0.7278486123999756,0.006080995905308338,,0.0,1153.16796875,10
Numba (1 thread),Kaggle,vase,625,2500,float64,1.345204240899966,0.008170765568102601,,0.0,1868.751953125,10
Numba (1 thread),Kaggle,vase,1250,5000,float32,2.818999152200104,0.010570645146241422,,0.0,3300.091796875,10
Numba (1 thread),Kaggle,vase,1250,5000,float64,5.276969189700094,0.017564557159106892,,0.0,6162.875,10
Numba (multithreaded),Colab,banana,300,1200,float32,0.23100534999939554,0.00891653087641074,,0.0,,10
Numba (multithreaded),Colab,banana,300,1200,float64,0.2872345348001545,0.059485177841417686,,0.0,,10
Numba (multithreaded),Colab,banana,625,2500,float32,0.8634122072002356,0.16540612663866455,,0.0,,10
Numba (multithreaded),Colab,banana,625,2500,float64,0.9807518860001437,0.1781327092486645,,0.0,,10
Numba (multithreaded),Colab,banana,1250,5000,float32,2.9191720702991004,0.39200313150538335,,0.0,,10
Numba (multithreaded),Colab,banana,1250,5000,float64,4.935990947099344,3.137088005688913,,0.0,,10
Numba (multithreaded),Colab,apple,300,1200,float32,0.2943167637997249,0.005554917547951839,,0.0,,10
Numba (multithreaded),Colab,apple,300,1200,float64,0.3704150964989822,0.0648517099668112,,0.0,,10
Numba (multithreaded),Colab,apple,625,2500,float32,1.0685883462003403,0.1946006477786244,,0.0,,10
Numba (multithreaded),Colab,apple,625,2500,float64,1.3042618979005056,0.2542570030168459,,0.0,,10
Numba (multithreaded),Colab,apple,1250,5000,float32,3.580008734499279,0.418646743628386,,0.0,,10
Numba (multithreaded),Colab,apple,1250,5000,float64,4.504583648799962,0.5233123921397956,,0.0,,10
Numba (multithreaded),Colab,vase,300,1200,float32,0.3063109249000263,0.047302741193476,,0.0,,10
Numba (multithreaded),Colab,vase,300,1200,float64,0.32841457680005987,0.01780962315549128,,0.0,,10
Numba (multithreaded),Colab,vase,625,2500,float32,1.046120485099891,0.18981305877159624,,0.0,,10
Numba (multithreaded),Colab,vase,625,2500,float64,1.2086499594992346,0.20618421814183038,,0.0,,10
Numba (multithreaded),Colab,vase,1250,5000,float32,3.5955162269008722,0.2886006278377777,,0.0,,10
Numba (multithreaded),Colab,vase,1250,5000,float64,4.453956261700296,0.45173692877034083,,0.0,,10
Numba (multithreaded),Kaggle,banana,300,1200,float32,0.2651398198000606,0.004142303594472888,,0.0,611.7578125,10
Numba (multithreaded),Kaggle,banana,300,1200,float64,0.2976595420999274,0.003679991206327857,,0.0,741.986328125,10
Numba (multithreaded),Kaggle,banana,625,2500,float32,0.7332038261999514,0.009389963438825293,,0.0,1053.087890625,10
Numba (multithreaded),Kaggle,banana,625,2500,float64,0.8472214659999736,0.01849746010628668,,0.0,1623.90234375,10
Numba (multithreaded),Kaggle,banana,1250,5000,float32,2.2322770793999096,0.022615016636725733,,0.0,2770.67578125,10
Numba (multithreaded),Kaggle,banana,1250,5000,float64,2.667789820200005,0.018461339769592584,,0.0,5059.076171875,10
Numba (multithreaded),Kaggle,apple,300,1200,float32,0.3543718630000058,0.0057421899489210814,,0.0,622.486328125,10
Numba (multithreaded),Kaggle,apple,300,1200,float64,0.39871310870016713,0.007909423019950705,,0.0,784.34375,10
Numba (multithreaded),Kaggle,apple,625,2500,float32,0.9423337803999857,0.008818402434362441,,0.0,1173.69921875,10
Numba (multithreaded),Kaggle,apple,625,2500,float64,1.1043492637999406,0.017994904389993495,,0.0,1886.96875,10
Numba (multithreaded),Kaggle,apple,1250,5000,float32,2.7600634092999825,0.016451142082526835,,0.0,3320.90625,10
Numba (multithreaded),Kaggle,apple,1250,5000,float64,3.3969513785999426,0.027805491718322282,,0.0,6181.1171875,10
Numba (multithreaded),Kaggle,vase,300,1200,float32,0.32251247210001566,0.004076539008967305,,0.0,645.263671875,10
Numba (multithreaded),Kaggle,vase,300,1200,float64,0.36103083059997515,0.003963815203365735,,0.0,808.208984375,10
Numba (multithreaded),Kaggle,vase,625,2500,float32,0.8860748608000449,0.005925214282702301,,0.0,1196.4765625,10
Numba (multithreaded),Kaggle,vase,625,2500,float64,1.0406735100999867,0.013997253045018159,,0.0,1910.486328125,10
