Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Data ST,Surface ET/End Time,n2,dtype
23496.224647797,23496.224776805,23496.226489575,23496.262707085,23496.272133491,23500.30494357,5000,float64
23501.003634426,23501.003761361,23501.005482855,23501.042739576,23501.052047935,23506.262520533,5000,float64
23506.959105279,23506.959235125,23506.960977567,23506.997022175,23507.006327692,23511.068312978,5000,float64
23511.746471754,23511.746597739,23511.748334637,23511.785860304,23511.795214332,23515.893570882,5000,float64
23516.884638889,23516.88480581,23516.886577533,23516.960317821,23516.977573933,23521.702818111,5000,float64
23623.038757615,23623.038885583,23623.040531135,23623.076393883,23623.085845587,23626.3464895,5000,float32
23626.892663906,23626.89279302,23626.894428773,23626.931553754,23626.940682994,23630.178724308,5000,float32
23630.746780962,23630.746913198,23630.748623077,23630.78477986,23630.793922173,23635.05441573,5000,float32
23635.68626899,23635.686399921,23635.688056524,23635.723782583,23635.732947316,23638.968876814,5000,float32
23639.532707918,23639.532836509,23639.53450735,23639.570796197,23639.579958301,23642.842585367,5000,float32
23643.403365154,23643.403503311,23643.405176863,23643.445366922,23643.454528958,23647.568499314,5000,float32
23648.272100579,23648.272228164,23648.273921591,23648.309656626,23648.318868607,23651.55691226,5000,float32
23652.106339,23652.106471821,23652.108205998,23652.144767176,23652.153914638,23655.427525334,5000,float32
23655.975829628,23655.975965238,23655.977631706,23656.017557594,23656.027263979,23660.025453501,5000,float32
23660.826062816,23660.826200447,23660.827860715,23660.863719791,23660.87289069,23664.311481785,5000,float32
