run_idx,object,n1,n2,dtype,device,t_data_create_cpu,t_h2d_transfer,t_curves,t_match_and_base_crown,t_tangent,t_alloc_output,t_kernel_surf_pts,t_d2h_transfer,t_total
0,apple,300,1200,float32,cpu,0.0002286929993715603,1.0799703886732459e-07,0.021200114002567716,0.0022001119978085626,0.0035387719981372356,0.06231635400035884,0.3053056030003063,2.359993231948465e-07,0.39478999199491227
1,apple,300,1200,float32,cpu,0.00023662199964746833,1.1199881555512547e-07,0.025991231999796582,0.0018558240008132998,0.003436064002016792,0.08814921099838102,0.31317133199991076,1.759981387294829e-07,0.4328405729975202
2,apple,300,1200,float32,cpu,0.00021702600133721717,1.7899947124533355e-07,0.019524726001691306,0.0018172169984609354,0.003354886001034174,0.08257477799998014,0.3149269429995911,2.0299921743571758e-07,0.4224159580007836
3,apple,300,1200,float32,cpu,0.0003038789982383605,1.309999788645655e-07,0.025077943999349372,0.0031427270005224273,0.005634069999359781,0.08813752899732208,0.3180655849973846,1.81000359589234e-07,0.44036204599251505
4,apple,300,1200,float32,cpu,0.00021660200218320824,1.1100200936198235e-07,0.019469023998681223,0.002086729000438936,0.0038622409992967732,0.08929179499682505,0.303077934000612,1.9600338418968022e-07,0.41800463200343074
5,apple,300,1200,float32,cpu,0.00022128500131657347,4.390021786093712e-07,0.021926182002061978,0.0018490439979359508,0.00326081800085376,0.08435454299979028,0.3061992969996936,1.9299841369502246e-07,0.41781180100224447
6,apple,300,1200,float32,cpu,0.0002365950022067409,1.1799784260801971e-07,0.019328044003486866,0.0018269429965585005,0.0032986540027195588,0.0846320660020865,0.3061620150001545,2.8800059226341546e-07,0.41548472300564754
7,apple,300,1200,float32,cpu,0.0002284499969391618,1.8300124793313444e-07,0.020432751000043936,0.0018835859991668258,0.003366987999470439,0.0821158189974085,0.30231428100159974,1.81000359589234e-07,0.4103422389962361
8,apple,300,1200,float32,cpu,0.00022570299915969372,1.2500095181167126e-07,0.019382135997147998,0.0018431690004945267,0.0033480149977549445,0.09799437599940575,0.44748677800089354,2.5599729269742966e-07,0.570280557993101
9,apple,300,1200,float32,cpu,0.00027155499992659315,1.5999830793589354e-07,0.029526769001677167,0.00248260499938624,0.005209957998886239,0.11283971200100495,0.40692294200198376,1.949993020389229e-07,0.5572538960004749
0,apple,625,2500,float64,cpu,0.00024033600129769184,1.2600139598362148e-07,0.019516814998496557,0.002571548000560142,0.005074640997918323,0.7152703350002412,2.790381200000411,2.2400126908905804e-07,3.53305522500159
1,apple,625,2500,float64,cpu,0.00023834000239730813,1.7300044419243932e-07,0.02073441399988951,0.002479229002346983,0.005342184002074646,0.7624333599997044,3.2196724389978044,2.1199957700446248e-07,4.0109003510042385
2,apple,625,2500,float64,cpu,0.0002356689983571414,9.900031727738678e-08,0.02359894099936355,0.0022559389981324784,0.005133255999680841,0.7193983249999292,2.6653156629981822,1.7899947124533355e-07,3.415938070993434
3,apple,625,2500,float64,cpu,0.00022910099869477563,1.0599978850223124e-07,0.019828717999189394,0.002331440002308227,0.005290098000841681,0.7199292680015787,2.651924338999379,2.079978003166616e-07,3.3995332779995806
4,apple,625,2500,float64,cpu,0.0002160519979952369,1.3300086720846593e-07,0.023170055999798933,0.0022664560019620694,0.005214454999077134,0.7123707539976749,2.935578889999306,2.4200198822654784e-07,3.6788170379986695
5,apple,625,2500,float64,cpu,0.00027768599829869345,1.3400131138041615e-07,0.03332893100014189,0.0033695219972287305,0.008421162998274667,0.8727840650026337,2.623258703002648,2.0100196707062423e-07,3.541440405002504
6,apple,625,2500,float64,cpu,0.00023282000256585889,1.0400253813713789e-07,0.024103445000946522,0.002288902000145754,0.005683108000084758,0.710941017998266,2.634138729001279,1.9100116332992911e-07,3.3773883170069894
7,apple,625,2500,float64,cpu,0.0002211659993918147,1.1100200936198235e-07,0.022513283001899254,0.0023790160012140404,0.005413563001638977,0.7055425509970519,2.640514416001679,2.0600054995156825e-07,3.376584312005434
