platform,label,dtype,n2,backend,device,Total_Time_mean,Total_Time_std,Curves_Time_mean,Curves_Time_std,Tangents_Time_mean,Tangents_Time_std,Surface_Time_mean,Surface_Time_std,Speedup_vs_Python_CPU
Colab,vase,float32,2500,TensorV,CPU,1.749721222,0.141549677,0.026188897,0.005084611,0.005585286,0.00079199,1.344390302,0.135545566,2.2250051597076648
Colab,vase,float32,2500,TensorV,GPU,0.068041951,0.006824693,0.049327773,0.006095188,0.005274215,0.000429201,0.002303122,0.000149558,57.21674187443567
Colab,vase,float32,5000,Numba,CPU,5.942728566,1.302263838,0.003262874,0.001376396,0.019037483,0.012712344,5.836748113,1.294674501,1.4773559041935889
Colab,vase,float32,5000,Numba,GPU,0.184746773,0.008873743,0.001323599,0.000123001,0.008777913,0.001802634,0.13365165,0.005449664,47.52194039134854
Colab,vase,float32,5000,Python,CPU,8.779525134,0.362605404,0.853482643,0.250946663,2.24545876,0.303681077,5.637756562,0.427172553,1.0
Colab,vase,float32,5000,TensorV,CPU,7.465145182,0.323939397,0.034713542,0.006675428,0.009066691,0.00200282,5.943766471,0.312820607,1.1760689068940335
Colab,vase,float32,5000,TensorV,GPU,0.067651093,0.004945924,0.045524963,0.001778706,0.005961217,0.001024531,0.003533115,4.69e-05,129.77654528065054
Colab,vase,float64,1200,Numba,CPU,0.333490835,0.010781664,0.001322718,2.28e-05,0.002348437,9.15e-05,0.319700039,0.01072079,4.927756029637216
Colab,vase,float64,1200,Numba,GPU,0.035576416,0.002702963,0.001154519,0.000607718,0.002833178,0.000712463,0.011139623,0.000623186,46.19244032338727
Colab,vase,float64,1200,Python,CPU,1.643361473,0.341625864,0.200634728,0.057787511,0.570437183,0.128754972,0.860291701,0.202922653,1.0
Colab,vase,float64,1200,TensorV,CPU,0.817141431,0.118101817,0.027503905,0.011027526,0.004704173,0.00099544,0.599036399,0.109325103,2.011110207677133
Colab,vase,float64,1200,TensorV,GPU,0.065323989,0.012059589,0.047790333,0.009515175,0.004598378,0.000384537,0.002265878,0.000236886,25.15709003931159
Colab,vase,float64,2500,Numba,CPU,1.349374827,0.263833722,0.001607813,0.000536812,0.005672678,0.001901149,1.317911803,0.259827932,3.1204431939502895
Colab,vase,float64,2500,Numba,GPU,0.066775311,0.005267872,0.001095278,0.000100177,0.004108119,0.000619596,0.038157221,0.00037097,63.056950719405854
Colab,vase,float64,2500,Python,CPU,4.210647495,0.626369984,0.449976245,0.152483441,1.094216266,0.187146366,2.641837681,0.528313749,1.0
Colab,vase,float64,2500,TensorV,CPU,3.49980179,0.203467227,0.027681206,0.003621955,0.006110607,0.001525389,2.71973391,0.163506112,1.2031102752821896
Colab,vase,float64,2500,TensorV,GPU,0.066580499,0.009684571,0.047075854,0.005051664,0.005840371,0.001743359,0.002368139,0.00026363,63.24145295156168
Colab,vase,float64,5000,Numba,CPU,5.534485522,1.735198533,0.002274572,0.001187525,0.010998638,0.003675875,5.473436587,1.725349777,2.101651552572261
Colab,vase,float64,5000,Numba,GPU,0.218525955,0.004407025,0.001288035,4.89e-05,0.0075672,0.000333009,0.170892485,0.000721476,53.2273618939224
Colab,vase,float64,5000,Python,CPU,11.63156009,1.689250111,0.854499136,0.240194706,2.293400953,0.388475185,8.439190644,1.609624115,1.0
Colab,vase,float64,5000,TensorV,CPU,14.81734765,2.708798273,0.030265893,0.007629528,0.010603131,0.002916294,11.35633211,1.26024121,0.7849960981377123
Colab,vase,float64,5000,TensorV,GPU,0.078815493,0.020327538,0.049448387,0.006003003,0.005811701,0.000598812,0.010428725,0.020905471,147.57961470849392
Kaggle,apple,float32,1200,Numba,CPU,0.485873611,0.013851614,0.002576152,0.000372663,0.001865825,0.000426185,0.469142903,0.013377257,3.8777319540410273
Kaggle,apple,float32,1200,Numba,GPU,0.02408875,0.003022104,0.002207,0.000108544,0.001372638,7.94e-05,0.003983291,0.000323563,78.2144207150641
Kaggle,apple,float32,1200,Python,CPU,1.884087627,0.042075317,0.497723764,0.013924148,0.687778362,0.023601269,0.687737726,0.025911174,1.0
Kaggle,apple,float32,1200,TensorV,CPU,0.290382762,0.006344136,0.023573122,0.001079299,0.004147698,0.000707134,0.190400341,0.004436331,6.4882901933414345
Kaggle,apple,float32,1200,TensorV,GPU,0.053901809,0.002864128,0.042986654,0.001832389,0.004411152,0.00018186,0.002242754,0.000248106,34.95407040977047
Kaggle,apple,float32,2500,Numba,CPU,1.297530025,0.030289088,0.002827259,0.000174289,0.00339597,0.000180302,1.269646356,0.030066966,3.3182721555903885
Kaggle,apple,float32,2500,Numba,GPU,0.049880315,0.008646514,0.002363276,0.000112766,0.002693624,0.000180925,0.016502297,7.46e-05,86.31777391542136
Kaggle,apple,float32,2500,Python,CPU,4.305557753,0.059999791,1.004059344,0.017208948,1.393476484,0.031176547,1.886482326,0.022440821,1.0
Kaggle,apple,float32,2500,TensorV,CPU,1.1762856,0.030587414,0.026138505,0.001813672,0.006046415,0.002638494,0.844888899,0.027940237,3.6602996355646966
Kaggle,apple,float32,2500,TensorV,GPU,0.054038609,0.000596122,0.042692799,0.000479704,0.004995522,0.000184168,0.00212106,5.64e-05,79.67558441409919
Kaggle,apple,float32,5000,Numba,CPU,3.72206983,0.089574893,0.003143349,0.000299117,0.006041743,0.00027262,3.671230877,0.087696814,2.8087738455997746
Kaggle,apple,float32,5000,Numba,GPU,0.132793088,0.014242184,0.002546861,0.00012214,0.005220404,0.000882644,0.06942563,0.002515706,78.72738368731963
Kaggle,apple,float32,5000,Python,CPU,10.45445239,0.111851769,1.992107668,0.039919636,2.8020821,0.072564123,5.619056384,0.041091969,1.0
